8000,896.98,888.60,880.56,19700000,16300000,18200000
8001,272.92,287.80,283.65,6437400000,7705400000,9343300000
8002,270.61,312.00,298.00,1000000,5302500000,4587300000
8005,657.06,680.22,661.98,-14500000,105300000,79900000
8006,449.45,441.44,455.72,122500000,79400000,58800000
8007,152.62,169.38,196.47,-8200000,-29600000,38700000
8008,827.70,823.08,832.40,70300000,46800000,-43700000
8011,436.00,478.23,452.62,240500000,611300000,588800000
8012,1003.09,1072.82,1168.07,462100000,272800000,777000000
8013,100.85,100.52,196.00,77100000,-612200000,10800000
8014,63.31,51.28,57.46,290800000,230900000,329600000
8015,1057.58,1187.48,1306.67,1426400000,359800000,3350000000
8016,932.31,1147.87,1175.70,-3011800000,993300000,764100000
8018,498.98,591.66,823.66,92000000,-418000000,162100000
8020,85.42,130.52,104.24,-1836300000,1355700000,324000000
8022,552.63,572.84,602.19,-121600000,59000000,522100000
8023,248.95,313.85,347.75,-61200000,-10600000,5100000
8024,148.28,141.21,253.38,8200000,-239700000,-157000000
8025,76.68,142.16,233.96,-256000000,-74300000,4100000
8027,145.89,150.71,203.15,-27100000,-86100000,38800000
8028,2010.52,1915.57,1771.87,1426500000,1590000000,1377400000
8029,199.15,306.42,316.69,-251200000,25800000,31200000
8030,316.05,378.82,431.24,-151600000,-3700000,101100000
8031,556.78,677.58,691.04,-8032900000,15790500000,11858800000
8032,381.02,389.87,423.72,337500000,72300000,291700000
8035,1943.93,1979.10,1829.61,992200000,5147100000,5169900000
8036,1392.10,1409.48,1251.49,417700000,2773000000,3068100000
8037,1135.89,1151.83,1239.56,132100000,-88900000,73000000
8038,135.04,176.91,220.79,-124200000,40600000,41800000
8039,326.14,422.82,479.27,-154300000,20400000,137800000
8040,596.72,647.60,656.25,-26000000,39100000,31500000
8041,300.85,313.17,340.65,65800000,50200000,47800000
8042,177.44,328.63,407.80,-660500000,-128800000,232300000
8043,327.46,327.65,336.63,79800000,59200000,84300000
8044,381.81,391.18,397.95,3200000,10100000,40000000
8045,1476.35,1763.28,2035.26,4200000,-12100000,22500000
8046,650.17,628.59,623.86,88700000,68000000,46300000
8050,163.21,250.13,364.79,-200000,62100000,280300000
8051,348.86,340.03,333.47,354500000,401300000,615700000
8052,270.81,327.13,363.96,107000000,115400000,94800000
8053,618.34,686.42,763.40,7651000000,7922000000,7027400000
8056,657.97,775.67,779.16,-922900000,307100000,360300000
8057,379.82,412.25,421.82,-12400000,115100000,93500000
8058,803.46,963.20,1009.63,11711500000,23528800000,32038100000
8059,364.20,375.09,379.79,149500000,242100000,210100000
8060,1830.90,1783.93,1733.19,1231600000,1579500000,1654800000
8061,229.34,236.21,263.59,119700000,137700000,190600000
8065,1081.98,1152.58,1197.12,118500000,158800000,233200000
8066,1565.49,1467.15,1352.06,333500000,430400000,459200000
8067,572.86,661.13,634.52,-102600000,21200000,13900000
8068,2131.56,2192.47,2263.54,-62300000,-36100000,40800000
