8181,2009-8-31,189,182,190,177,103000
8182,2009-8-31,932,931,939,931,35000
8184,2009-8-31,2170,2185,2240,2165,487800
8185,2009-8-31,1298,1295,1314,1285,84300
8186,2009-8-31,931,929,932,925,44500
8187,2009-8-31,56400,55900,56400,55900,14
8193,2009-8-31,214,212,216,207,49000
8194,2009-8-31,1566,1564,1584,1560,13500
8196,2009-8-31,448,441,452,440,149400
8198,2009-8-31,1242,1255,1260,1240,10800
8200,2009-8-31,1214,1219,1228,1211,35100
8201,2009-8-31,174,166,174,164,194000
8202,2009-8-31,131,125,132,116,6890000
8203,2009-8-31,501,498,504,496,31700
8206,2009-8-31,8,8,8,7,1152000
8207,2009-8-31,339,340,344,336,10300
8208,2009-8-31,449,449,449,449,1000
8209,2009-8-31,327,334,334,327,5000
8214,2009-8-31,1038,1053,1072,1033,68200
8215,2009-8-31,73,73,75,73,6000
8216,2009-8-31,421,408,421,408,51000
8217,2009-8-31,1148,1142,1148,1130,41000
8218,2009-8-31,2455,2465,2490,2450,192500
8219,2009-8-31,1703,1695,1727,1670,357600
8225,2009-8-31,136,139,139,136,3000
8226,2009-8-31,106,155,155,104,1702000
8227,2009-8-31,8430,8330,8480,8270,138700
8229,2009-8-31,582,575,590,570,15500
8230,2009-8-31,305,302,305,302,9100
8233,2009-8-31,788,808,811,768,4714000
8236,2009-8-31,100,111,112,99,2584000
8237,2009-8-31,911,911,929,889,161800
8242,2009-8-31,594,595,600,573,1768000
8244,2009-8-31,165,162,165,162,38000
8245,2009-8-31,171,171,174,168,23000
8247,2009-8-31,108,109,110,108,13000
8248,2009-8-31,310,314,319,305,386800
8249,2009-8-31,720,725,728,720,2300
8251,2009-8-31,915,902,944,893,279000
8252,2009-8-31,647,648,666,641,3218100
8253,2009-8-31,1264,1267,1302,1240,2874600
8254,2009-8-31,84,84,88,83,192000
8255,2009-8-31,1042,1052,1064,1040,18300
8257,2009-8-31,1790,1790,1790,1790,100
8258,2009-8-31,175,173,178,170,1676700
8260,2009-8-31,52,51,53,51,329000
8263,2009-8-31,410,430,432,407,1729300
8266,2009-8-31,567,573,575,567,186000
8267,2009-8-31,986,973,1004,966,5329100
8270,2009-8-31,790,792,812,780,1249900
8273,2009-8-31,1363,1357,1389,1352,218100
8274,2009-8-31,304,302,307,301,41000
8275,2009-8-31,235,234,239,225,11200
8276,2009-8-31,1369,1349,1393,1341,115300
8278,2009-8-31,1786,1790,1829,1784,36400
8279,2009-8-31,3000,3020,3050,2985,15800
8281,2009-8-31,2005,2025,2035,1981,227300
8282,2009-8-31,2860,2835,2910,2815,350700
8285,2009-8-31,160,160,160,160,1000
8287,2009-8-31,1375,1378,1385,1365,3800
8289,2009-8-31,622,615,628,610,43500
8291,2009-8-31,120,120,128,116,1077000
8293,2009-8-31,768,764,768,764,4000
8301,2009-8-31,72000,70100,72000,70100,200
8303,2009-8-31,164,156,166,155,15454000
8304,2009-8-31,142,135,144,135,9504000
8306,2009-8-31,598,595,606,590,89781900
8308,2009-8-31,1281,1273,1292,1263,4412900
8309,2009-8-31,394,389,402,381,16354000
8316,2009-8-31,4070,4010,4130,3990,12684400
8324,2009-8-31,385,386,392,382,597000
8325,2009-8-31,188,192,192,188,183000
8327,2009-8-31,248,247,253,243,1536000
8328,2009-8-31,336,337,349,331,2272400
8331,2009-8-31,589,586,594,581,3745000
8332,2009-8-31,528,521,543,520,7193000
