8000,2009年8月31日,380,371,380,371,2000
8001,2009年8月31日,667,656,676,649,12954000
8002,2009年8月31日,471,462,478,456,16215000
8005,2009年8月31日,401,398,407,398,36700
8006,2009年8月31日,235,240,240,235,20000
8007,2009年8月31日,152,158,165,149,1726000
8008,2009年8月31日,1038,1036,1060,1010,16500
8011,2009年8月31日,320,313,321,310,501000
8012,2009年8月31日,1138,1110,1172,1107,482000
8013,2009年8月31日,53,53,54,53,146000
8014,2009年8月31日,107,105,108,104,1077000
8015,2009年8月31日,1555,1516,1585,1506,1705400
8016,2009年8月31日,701,678,707,674,1235000
8018,2009年8月31日,235,237,240,233,46300
8020,2009年8月31日,94,91,95,89,4108000
8022,2009年8月31日,425,421,425,417,202000
8025,2009年8月31日,101,99,102,98,184000
8028,2009年8月31日,2875,2865,2905,2845,1320500
8029,2009年8月31日,102,102,103,100,196000
8030,2009年8月31日,179,182,182,179,9000
8031,2009年8月31日,1243,1206,1255,1190,22029200
8032,2009年8月31日,344,347,355,344,134000
8035,2009年8月31日,5180,5120,5230,5020,2589500
8036,2009年8月31日,1860,1871,1921,1836,555600
8037,2009年8月31日,568,572,578,564,17000
8038,2009年8月31日,176,180,183,173,581000
8039,2009年8月31日,144,146,147,144,16000
8041,2009年8月31日,183,181,183,179,83000
8042,2009年8月31日,111,111,113,108,143000
8043,2009年8月31日,228,226,230,225,58000
8044,2009年8月31日,124,125,125,121,205000
8045,2009年8月31日,415,415,415,415,1000
8046,2009年8月31日,168,168,168,168,8000
8050,2009年8月31日,261,254,263,250,306000
8051,2009年8月31日,377,372,389,367,402700
8052,2009年8月31日,225,224,225,223,34000
8053,2009年8月31日,968,944,983,934,8976900
8056,2009年8月31日,820,794,833,788,933100
8057,2009年8月31日,321,347,349,312,1112000
8058,2009年8月31日,1904,1876,1935,1851,16330000
8059,2009年8月31日,303,298,307,297,136000
8060,2009年8月31日,1527,1568,1571,1520,723000
8061,2009年8月31日,240,243,244,239,241000
8065,2009年8月31日,522,538,540,522,19400
8066,2009年8月31日,709,678,709,665,1900
8068,2009年8月31日,824,825,837,811,136700
8070,2009年8月31日,319,308,319,306,54000
8071,2009年8月31日,330,320,330,315,9000
8072,2009年8月31日,213,210,213,210,7000
8073,2009年8月31日,211,206,212,202,21200
8074,2009年8月31日,103,103,104,100,592000
8075,2009年8月31日,182,179,183,177,619000
8077,2009年8月31日,195,193,198,188,2700
8078,2009年8月31日,374,365,379,361,1306000
8079,2009年8月31日,450,460,460,440,5000
8080,2009年8月31日,480,478,480,478,900
8081,2009年8月31日,559,564,564,555,17000
8084,2009年8月31日,604,604,613,596,106000
8085,2009年8月31日,140,123,145,121,737000
8086,2009年8月31日,1979,2000,2015,1966,316800
8087,2009年8月31日,709,708,723,701,13000
8088,2009年8月31日,282,276,285,272,761000
8089,2009年8月31日,228,219,230,216,169000
8090,2009年8月31日,112,113,115,112,121000
8091,2009年8月31日,181,171,181,170,191000
8093,2009年8月31日,146,143,146,141,66000
8095,2009年8月31日,326,315,327,310,979000
8096,2009年8月31日,874,863,884,863,115200
8097,2009年8月31日,462,459,470,455,182000
8098,2009年8月31日,453,450,463,439,98200
8101,2009年8月31日,117,115,117,111,674000
8103,2009年8月31日,191,185,192,183,79000
8105,2009年8月31日,57,54,58,53,193000
8107,2009年8月31日,6,6,6,5,4599000
8108,2009年8月31日,890,890,890,880,3500
8111,2009年8月31日,225,227,229,220,244000
8112,2009年8月31日,790,777,800,770,348000
8113,2009年8月31日,8400,8370,8530,8280,541800
8114,2009年8月31日,429,437,443,429,21000
8115,2009年8月31日,153,152,156,152,92000
8117,2009年8月31日,355,361,361,355,32000
8118,2009年8月31日,260,257,260,253,6100
8119,2009年8月31日,260,260,260,260,4000
8120,2009年8月31日,500,530,530,500,7000
8123,2009年8月31日,115,115,115,115,2000
8125,2009年8月31日,485,485,493,485,5000
8127,2009年8月31日,418,415,421,413,23400
8128,2009年8月31日,82,81,102,75,953000
8129,2009年8月31日,1396,1364,1413,1346,208800
8130,2009年8月31日,2115,2100,2145,2075,54000
8131,2009年8月31日,649,652,685,642,65300
8132,2009年8月31日,485,482,488,475,100000
8133,2009年8月31日,575,575,582,566,222600
8134,2009年8月31日,495,499,501,490,69000
8135,2009年8月31日,178,178,178,178,2000
8136,2009年8月31日,823,825,834,817,214700
8137,2009年8月31日,476,466,486,455,4700
8138,2009年8月31日,223,230,230,223,3000
8139,2009年8月31日,230,235,247,230,10000
8140,2009年8月31日,2370,2400,2430,2355,60500
8141,2009年8月31日,832,836,857,829,65100
8142,2009年8月31日,335,334,336,330,30000
8143,2009年8月31日,103,107,108,98,243000
8144,2009年8月31日,518,518,518,518,1000
8147,2009年8月31日,420,439,439,420,300
8148,2009年8月31日,396,396,396,396,2000
8150,2009年8月31日,800,791,816,765,86100
8151,2009年8月31日,951,962,968,951,128200
8152,2009年8月31日,245,245,245,245,3000
8153,2009年8月31日,1588,1586,1593,1577,43700
8154,2009年8月31日,1130,1113,1150,1110,88400
8155,2009年8月31日,1307,1324,1335,1261,326500
8157,2009年8月31日,372,373,375,372,55000
8158,2009年8月31日,308,310,310,305,12000
8159,2009年8月31日,787,756,807,752,37400
8160,2009年8月31日,2060,2045,2080,2015,21400
8163,2009年8月31日,620,625,648,620,12000
8165,2009年8月31日,645,650,655,642,72100
8166,2009年8月31日,155,152,155,151,14000
8167,2009年8月31日,913,923,928,913,2200
8168,2009年8月31日,471,466,473,465,83000
8170,2009年8月31日,1251,1263,1270,1251,64500
8171,2009年8月31日,940,909,940,906,3400
8173,2009年8月31日,743,740,750,736,149000
8174,2009年8月31日,1424,1523,1544,1424,106400
8175,2009年8月31日,481,473,488,473,136500
8178,2009年8月31日,474,469,477,468,132000
8179,2009年8月31日,1023,1031,1034,1021,56700
8181,2009年8月31日,189,182,190,177,103000
8182,2009年8月31日,932,931,939,931,35000
8184,2009年8月31日,2170,2185,2240,2165,487800
8185,2009年8月31日,1298,1295,1314,1285,84300
8186,2009年8月31日,931,929,932,925,44500
8187,2009年8月31日,56400,55900,56400,55900,14
8193,2009年8月31日,214,212,216,207,49000
8194,2009年8月31日,1566,1564,1584,1560,13500
8196,2009年8月31日,448,441,452,440,149400
8198,2009年8月31日,1242,1255,1260,1240,10800
8200,2009年8月31日,1214,1219,1228,1211,35100
8201,2009年8月31日,174,166,174,164,194000
8202,2009年8月31日,131,125,132,116,6890000
8203,2009年8月31日,501,498,504,496,31700
8206,2009年8月31日,8,8,8,7,1152000
8207,2009年8月31日,339,340,344,336,10300
8208,2009年8月31日,449,449,449,449,1000
8209,2009年8月31日,327,334,334,327,5000
8214,2009年8月31日,1038,1053,1072,1033,68200
8215,2009年8月31日,73,73,75,73,6000
8216,2009年8月31日,421,408,421,408,51000
8217,2009年8月31日,1148,1142,1148,1130,41000
8218,2009年8月31日,2455,2465,2490,2450,192500
8219,2009年8月31日,1703,1695,1727,1670,357600
8225,2009年8月31日,136,139,139,136,3000
8226,2009年8月31日,106,155,155,104,1702000
8227,2009年8月31日,8430,8330,8480,8270,138700
8229,2009年8月31日,582,575,590,570,15500
8230,2009年8月31日,305,302,305,302,9100
8233,2009年8月31日,788,808,811,768,4714000
8236,2009年8月31日,100,111,112,99,2584000
8237,2009年8月31日,911,911,929,889,161800
8242,2009年8月31日,594,595,600,573,1768000
8244,2009年8月31日,165,162,165,162,38000
8245,2009年8月31日,171,171,174,168,23000
8246,2009年8月31日,308,310,316,300,43000
8247,2009年8月31日,108,109,110,108,13000
8248,2009年8月31日,310,314,319,305,386800
8249,2009年8月31日,720,725,728,720,2300
8251,2009年8月31日,915,902,944,893,279000
8252,2009年8月31日,647,648,666,641,3218100
8253,2009年8月31日,1264,1267,1302,1240,2874600
8254,2009年8月31日,84,84,88,83,192000
8255,2009年8月31日,1042,1052,1064,1040,18300
8257,2009年8月31日,1790,1790,1790,1790,100
8258,2009年8月31日,175,173,178,170,1676700
8260,2009年8月31日,52,51,53,51,329000
8263,2009年8月31日,410,430,432,407,1729300
8266,2009年8月31日,567,573,575,567,186000
8267,2009年8月31日,986,973,1004,966,5329100
8270,2009年8月31日,790,792,812,780,1249900
8273,2009年8月31日,1363,1357,1389,1352,218100
8274,2009年8月31日,304,302,307,301,41000
8275,2009年8月31日,235,234,239,225,11200
8276,2009年8月31日,1369,1349,1393,1341,115300
8278,2009年8月31日,1786,1790,1829,1784,36400
8279,2009年8月31日,3000,3020,3050,2985,15800
8281,2009年8月31日,2005,2025,2035,1981,227300
8282,2009年8月31日,2860,2835,2910,2815,350700
8285,2009年8月31日,160,160,160,160,1000
8287,2009年8月31日,1375,1378,1385,1365,3800
8289,2009年8月31日,622,615,628,610,43500
8291,2009年8月31日,120,120,128,116,1077000
8293,2009年8月31日,768,764,768,764,4000
8301,2009年8月31日,72000,70100,72000,70100,200
8303,2009年8月31日,164,156,166,155,15454000
8304,2009年8月31日,142,135,144,135,9504000
8306,2009年8月31日,598,595,606,590,89781900
8308,2009年8月31日,1281,1273,1292,1263,4412900
8309,2009年8月31日,394,389,402,381,16354000
8316,2009年8月31日,4070,4010,4130,3990,12684400
8324,2009年8月31日,385,386,392,382,597000
8325,2009年8月31日,188,192,192,188,183000
8327,2009年8月31日,248,247,253,243,1536000
8328,2009年8月31日,336,337,349,331,2272400
8331,2009年8月31日,589,586,594,581,3745000
8332,2009年8月31日,528,521,543,520,7193000
8333,2009年8月31日,477,480,488,473,2021000
8334,2009年8月31日,531,528,539,524,1318000
8336,2009年8月31日,3320,3320,3380,3290,89100
8337,2009年8月31日,807,809,814,793,77400
8338,2009年8月31日,321,327,327,317,205800
8339,2009年8月31日,1701,1675,1728,1654,261200
8341,2009年8月31日,561,560,575,555,914000
8342,2009年8月31日,380,386,386,376,282000
8343,2009年8月31日,374,378,380,373,244000
8344,2009年8月31日,526,529,533,520,474000
8345,2009年8月31日,5450,5450,5540,5400,19100
8346,2009年8月31日,425,428,431,423,277000
